                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3016,                 3.3323,                 2.2078,                0.00303,                0.05219,                0.00421,                0.00137,                 3.4937,                 57.241,                 2.9717,               0.070087,              0.0033237,              0.0033237
                      2,                 2.6961,                 2.7615,                 1.8253,                0.12097,                0.11895,                0.03888,                0.01206,                 2.9756,                 25.752,                 2.4666,               0.040065,               0.006635,               0.006635
                      3,                 2.5494,                 2.5789,                 1.7517,                0.22884,                0.25009,                 0.1623,                0.06486,                 2.3826,                  2.763,                 1.7077,               0.010021,              0.0099244,              0.0099244
                      4,                  2.503,                 2.5077,                 1.7206,                0.18628,                0.25345,                0.15496,                0.06184,                  2.275,                 2.4592,                 1.6861,               0.009901,               0.009901,               0.009901
                      5,                 2.4169,                 2.3521,                 1.6805,                0.30333,                0.28277,                0.21256,                0.08192,                 2.2494,                  2.211,                 1.6669,               0.009868,               0.009868,               0.009868
                      6,                 2.3622,                 2.3162,                 1.6691,                0.26206,                0.23942,                0.17558,                0.06984,                  2.416,                  2.371,                 1.7278,               0.009835,               0.009835,               0.009835
                      7,                 2.3121,                 2.2504,                   1.64,                 0.3551,                0.26597,                 0.2363,                0.09665,                 2.2261,                 2.1643,                 1.6045,               0.009802,               0.009802,               0.009802
                      8,                  2.284,                 2.2074,                 1.6127,                0.34915,                0.30315,                0.26351,                0.10787,                 2.2037,                 2.0777,                 1.5777,               0.009769,               0.009769,               0.009769
                      9,                 2.2613,                 2.1691,                 1.6094,                0.35595,                0.29588,                0.28162,                0.11788,                  2.132,                 2.0579,                 1.5718,               0.009736,               0.009736,               0.009736
                     10,                 2.2169,                 2.1134,                 1.5792,                0.40372,                0.34664,                0.31926,                0.13513,                 2.0708,                 2.1431,                 1.5374,               0.009703,               0.009703,               0.009703
                     11,                 2.2045,                  2.085,                 1.5801,                0.43681,                0.30236,                0.30465,                0.13482,                 2.0548,                 2.0745,                 1.5341,                0.00967,                0.00967,                0.00967
                     12,                 2.1909,                 2.0739,                 1.5589,                0.38672,                0.36843,                0.31668,                0.14202,                 2.0351,                 2.1347,                  1.557,               0.009637,               0.009637,               0.009637
                     13,                 2.1728,                  2.038,                 1.5536,                 0.4188,                0.36502,                0.34255,                0.14772,                 2.0684,                 1.8693,                 1.5357,               0.009604,               0.009604,               0.009604
                     14,                 2.1589,                  2.009,                 1.5462,                0.40391,                0.40064,                0.36091,                0.16333,                 2.0049,                 1.8019,                 1.5105,               0.009571,               0.009571,               0.009571
                     15,                 2.1475,                 2.0123,                 1.5507,                0.44155,                 0.3856,                0.36904,                0.17292,                  1.957,                 1.8216,                 1.4882,               0.009538,               0.009538,               0.009538
                     16,                 2.1348,                 1.9692,                  1.539,                0.44853,                0.36607,                0.34006,                 0.1506,                 2.0227,                 2.0463,                 1.5498,               0.009505,               0.009505,               0.009505
                     17,                 2.1258,                 1.9511,                 1.5298,                0.44728,                 0.4281,                0.39352,                0.17758,                 1.9836,                 1.7775,                 1.4906,               0.009472,               0.009472,               0.009472
                     18,                 2.1083,                 1.9548,                 1.5204,                0.47177,                0.43378,                 0.4189,                0.20355,                 1.9362,                 1.7381,                 1.4834,               0.009439,               0.009439,               0.009439
