                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9435,                 1.6967,                 1.4422,                 0.5975,                0.44556,                 0.4934,                0.24709,                 1.8641,                 1.6083,                 1.4303,               0.008878,               0.008878,               0.008878
                     36,                 1.9394,                 1.6825,                 1.4309,                0.59297,                0.47918,                0.53122,                0.27147,                 1.8447,                  1.564,                 1.4248,               0.008845,               0.008845,               0.008845
                     37,                 1.9331,                  1.683,                 1.4398,                 0.6471,                0.46617,                0.53681,                0.27432,                 1.8055,                 1.5347,                 1.4018,               0.008812,               0.008812,               0.008812
                     38,                  1.928,                 1.6748,                 1.4326,                0.65076,                  0.483,                0.53637,                0.26726,                 1.8702,                  1.546,                  1.411,               0.008779,               0.008779,               0.008779
                     39,                 1.9217,                 1.6678,                 1.4247,                0.63635,                 0.4815,                 0.5447,                 0.2819,                 1.8118,                 1.5333,                 1.4099,               0.008746,               0.008746,               0.008746
                     40,                 1.9141,                 1.6451,                 1.4172,                0.64388,                 0.4875,                0.55199,                0.28955,                 1.8062,                 1.5072,                 1.3944,               0.008713,               0.008713,               0.008713
                     41,                 1.9205,                 1.6527,                 1.4211,                0.63271,                0.52438,                0.56522,                0.29385,                 1.8035,                 1.5176,                 1.4104,                0.00868,                0.00868,                0.00868
                     42,                 1.9024,                 1.6485,                 1.4199,                0.65603,                0.48943,                0.55694,                0.29506,                 1.7776,                 1.5073,                  1.381,               0.008647,               0.008647,               0.008647
                     43,                 1.9157,                 1.6434,                 1.4167,                0.64341,                0.49788,                0.55056,                0.28784,                  1.804,                 1.5598,                 1.3938,               0.008614,               0.008614,               0.008614
                     44,                  1.906,                 1.6337,                 1.4115,                0.62977,                0.51155,                0.55691,                0.29052,                 1.7883,                 1.5509,                 1.3973,               0.008581,               0.008581,               0.008581
                     45,                 1.8995,                 1.6238,                 1.4088,                0.65694,                0.49414,                0.55899,                0.28856,                 1.8018,                  1.508,                 1.3886,               0.008548,               0.008548,               0.008548
                     46,                  1.882,                 1.6057,                 1.3975,                0.63645,                0.49915,                 0.5671,                0.29348,                 1.8045,                 1.4953,                 1.3919,               0.008515,               0.008515,               0.008515
                     47,                 1.8832,                 1.6026,                 1.4068,                0.61967,                 0.5185,                0.56758,                0.29907,                  1.783,                 1.4846,                 1.3872,               0.008482,               0.008482,               0.008482
                     48,                  1.885,                 1.5949,                 1.4013,                0.62326,                 0.5224,                0.57007,                0.29448,                 1.8018,                 1.4831,                 1.3904,               0.008449,               0.008449,               0.008449
                     49,                 1.8863,                    1.6,                 1.4058,                0.64627,                0.52591,                 0.5758,                0.30065,                 1.7823,                 1.4813,                 1.3857,               0.008416,               0.008416,               0.008416
                     50,                 1.8671,                 1.5887,                 1.3859,                0.62385,                0.53805,                0.58004,                0.30461,                  1.777,                 1.4598,                 1.3836,               0.008383,               0.008383,               0.008383
                     51,                  1.858,                 1.5734,                 1.3909,                0.66011,                0.51747,                0.57597,                0.30516,                 1.7676,                 1.4618,                 1.3783,                0.00835,                0.00835,                0.00835
                     52,                 1.8664,                 1.5852,                 1.4014,                0.67914,                0.51089,                0.58487,                0.30823,                 1.7599,                 1.4639,                 1.3739,               0.008317,               0.008317,               0.008317
                     53,                 1.8605,                 1.5736,                 1.3895,                0.66588,                0.53058,                0.58927,                0.31002,                 1.7793,                 1.4643,                 1.3823,               0.008284,               0.008284,               0.008284
                     54,                 1.8518,                 1.5503,                 1.3838,                0.69146,                0.52792,                0.59776,                 0.3156,                  1.757,                 1.4563,                  1.372,               0.008251,               0.008251,               0.008251
                     55,                 1.8547,                 1.5592,                 1.3847,                0.66375,                0.54041,                0.59015,                0.31491,                  1.747,                 1.4352,                 1.3728,               0.008218,               0.008218,               0.008218
                     56,                 1.8418,                 1.5408,                 1.3729,                0.66353,                 0.5437,                0.60319,                0.31082,                 1.7743,                 1.4256,                 1.3761,               0.008185,               0.008185,               0.008185
                     57,                 1.8399,                 1.5388,                 1.3772,                0.69177,                0.54489,                0.60746,                0.32704,                 1.7445,                 1.4297,                 1.3633,               0.008152,               0.008152,               0.008152
                     58,                 1.8466,                   1.54,                 1.3824,                0.67557,                0.55923,                0.61691,                0.32749,                 1.7463,                 1.4132,                 1.3665,               0.008119,               0.008119,               0.008119
                     59,                 1.8371,                 1.5339,                 1.3747,                0.68543,                0.53705,                0.60597,                0.32641,                 1.7605,                 1.4153,                 1.3645,               0.008086,               0.008086,               0.008086
                     60,                 1.8437,                  1.545,                 1.3833,                0.66587,                0.55293,                0.60078,                0.32676,                 1.7433,                 1.4111,                 1.3601,               0.008053,               0.008053,               0.008053
                     61,                 1.8277,                 1.5118,                 1.3737,                0.68077,                0.55906,                0.60735,                0.32224,                 1.7462,                 1.4043,                  1.366,                0.00802,                0.00802,                0.00802
                     62,                 1.8378,                 1.5245,                 1.3769,                0.68787,                0.54412,                0.61193,                0.32549,                 1.7571,                 1.4063,                 1.3651,               0.007987,               0.007987,               0.007987
                     63,                 1.8309,                 1.5278,                 1.3714,                 0.6998,                0.53733,                0.62455,                0.33447,                 1.7507,                 1.4039,                 1.3617,               0.007954,               0.007954,               0.007954
                     64,                 1.8447,                 1.5251,                 1.3723,                0.67445,                0.56037,                0.62079,                0.33623,                 1.7451,                 1.4096,                 1.3608,               0.007921,               0.007921,               0.007921
                     65,                 1.8211,                 1.5042,                  1.368,                0.70202,                 0.5482,                0.61779,                0.33668,                 1.7432,                 1.3963,                 1.3598,               0.007888,               0.007888,               0.007888
                     66,                 1.8137,                 1.5043,                 1.3645,                 0.7126,                0.55223,                 0.6252,                0.33723,                  1.727,                 1.3711,                 1.3553,               0.007855,               0.007855,               0.007855
                     67,                 1.8151,                 1.4997,                 1.3623,                0.70989,                0.56101,                 0.6372,                0.34559,                 1.7347,                 1.3733,                 1.3533,               0.007822,               0.007822,               0.007822
