epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2833.08,1.87067,1.597,1.39624,0.67718,0.48839,0.57417,0.29848,1.74428,1.49541,1.37497,0.008614,0.008614,0.008614
44,2900.7,1.87055,1.59748,1.39074,0.65459,0.52122,0.57757,0.29209,1.78694,1.48639,1.38154,0.008581,0.008581,0.008581
45,2967.68,1.86284,1.58091,1.39486,0.63018,0.54761,0.58402,0.30281,1.78099,1.46839,1.385,0.008548,0.008548,0.008548
46,3035.14,1.84643,1.55877,1.37896,0.66481,0.52224,0.58689,0.30635,1.76045,1.44857,1.37845,0.008515,0.008515,0.008515
47,3101.3,1.84722,1.56806,1.38936,0.66842,0.52352,0.59772,0.318,1.74075,1.43643,1.36571,0.008482,0.008482,0.008482
48,3171.16,1.85057,1.5608,1.38684,0.6798,0.52115,0.59279,0.31473,1.74936,1.43388,1.37525,0.008449,0.008449,0.008449
49,3239.91,1.84608,1.5612,1.38687,0.68501,0.52985,0.59874,0.31823,1.75624,1.45277,1.37167,0.008416,0.008416,0.008416
50,3307.49,1.83733,1.54331,1.37306,0.66438,0.54947,0.6038,0.31831,1.73618,1.41499,1.36702,0.008383,0.008383,0.008383
51,3375.1,1.83094,1.53736,1.37852,0.67949,0.54357,0.60995,0.32621,1.74047,1.40581,1.36452,0.00835,0.00835,0.00835
52,3444.17,1.82022,1.54656,1.37677,0.70519,0.52205,0.60942,0.32621,1.76273,1.41407,1.36932,0.008317,0.008317,0.008317
53,3511.4,1.82387,1.53144,1.37181,0.68546,0.539,0.60744,0.32375,1.7292,1.4218,1.3599,0.008284,0.008284,0.008284
54,3579.69,1.80603,1.51426,1.36535,0.70657,0.55431,0.62054,0.33383,1.72317,1.39265,1.35966,0.008251,0.008251,0.008251
55,3647.33,1.82312,1.52359,1.36716,0.71713,0.54566,0.62297,0.33645,1.71943,1.40739,1.35074,0.008218,0.008218,0.008218
56,3715.17,1.81343,1.51616,1.36175,0.70294,0.54508,0.61642,0.33688,1.69414,1.39089,1.34016,0.008185,0.008185,0.008185
57,3782.59,1.80095,1.50035,1.35848,0.70127,0.55368,0.62787,0.33805,1.72053,1.39561,1.34778,0.008152,0.008152,0.008152
58,3849.97,1.81379,1.50505,1.36692,0.70168,0.55999,0.62187,0.33078,1.71583,1.37759,1.34394,0.008119,0.008119,0.008119
59,3916.55,1.7994,1.49797,1.35797,0.68575,0.55922,0.62338,0.33487,1.73172,1.3696,1.35756,0.008086,0.008086,0.008086
60,3984.19,1.79456,1.49472,1.36048,0.68849,0.57489,0.63854,0.34876,1.69732,1.3606,1.3417,0.008053,0.008053,0.008053
61,4050.93,1.79325,1.47064,1.35396,0.70871,0.55915,0.63112,0.33931,1.70998,1.37992,1.34742,0.00802,0.00802,0.00802
62,4116.17,1.80325,1.48759,1.35914,0.69029,0.55708,0.63475,0.34952,1.70099,1.36743,1.33708,0.007987,0.007987,0.007987
63,4184.55,1.79789,1.48458,1.3538,0.71227,0.55285,0.63528,0.35461,1.69062,1.3636,1.34079,0.007954,0.007954,0.007954
64,4252.06,1.79774,1.48586,1.3518,0.71701,0.56876,0.64497,0.35339,1.68851,1.35703,1.3327,0.007921,0.007921,0.007921
65,4318.99,1.77639,1.46449,1.34654,0.73486,0.55999,0.64469,0.35061,1.70799,1.34344,1.33785,0.007888,0.007888,0.007888
66,4388.12,1.77207,1.46849,1.34576,0.70356,0.57205,0.63988,0.35647,1.67297,1.34562,1.33239,0.007855,0.007855,0.007855
67,4459.07,1.78266,1.46753,1.34933,0.71244,0.56898,0.64234,0.35286,1.6918,1.35229,1.33408,0.007822,0.007822,0.007822
68,4526.84,1.78271,1.46612,1.34607,0.7262,0.55137,0.64208,0.35541,1.69512,1.34281,1.3313,0.007789,0.007789,0.007789
69,4589.74,1.77218,1.45094,1.34389,0.72647,0.56665,0.64408,0.3623,1.67024,1.34042,1.33242,0.007756,0.007756,0.007756
70,4652.62,1.77226,1.44566,1.33475,0.74275,0.55936,0.64864,0.36098,1.6794,1.33315,1.32976,0.007723,0.007723,0.007723
71,4715.4,1.76804,1.4467,1.3407,0.74224,0.56006,0.65259,0.35882,1.68989,1.33141,1.33295,0.00769,0.00769,0.00769
72,4778.22,1.76919,1.45755,1.35152,0.70814,0.59317,0.66045,0.36219,1.67552,1.3249,1.3314,0.007657,0.007657,0.007657
73,4841,1.77186,1.44754,1.34263,0.73407,0.57345,0.65485,0.36338,1.67371,1.3295,1.32776,0.007624,0.007624,0.007624
74,4903.87,1.75139,1.42042,1.32945,0.73146,0.56628,0.64941,0.3613,1.6746,1.32767,1.32856,0.007591,0.007591,0.007591
75,4966.64,1.75962,1.4191,1.32689,0.76012,0.57321,0.6607,0.36695,1.66696,1.31584,1.32275,0.007558,0.007558,0.007558
76,5029.38,1.75329,1.43576,1.33827,0.71202,0.57372,0.65254,0.36992,1.65598,1.31106,1.32289,0.007525,0.007525,0.007525
77,5092.16,1.75363,1.41978,1.33043,0.75465,0.56064,0.65606,0.36502,1.67313,1.31431,1.3309,0.007492,0.007492,0.007492
78,5154.92,1.74818,1.41459,1.33095,0.74408,0.58094,0.66168,0.37133,1.65361,1.30259,1.31839,0.007459,0.007459,0.007459
79,5218.28,1.74267,1.41455,1.32904,0.72882,0.57576,0.66156,0.37058,1.65708,1.30361,1.31995,0.007426,0.007426,0.007426
80,5287.59,1.74909,1.40661,1.32513,0.74825,0.5766,0.66277,0.37233,1.65342,1.3012,1.31385,0.007393,0.007393,0.007393
81,5354.46,1.73981,1.40382,1.32595,0.75028,0.57695,0.66171,0.37252,1.66067,1.31109,1.3217,0.00736,0.00736,0.00736
82,5420.17,1.74617,1.39811,1.32331,0.70661,0.5953,0.66185,0.3695,1.66951,1.3047,1.32087,0.007327,0.007327,0.007327
83,5487.14,1.74206,1.39541,1.32283,0.72334,0.5829,0.66408,0.37367,1.66595,1.29621,1.32382,0.007294,0.007294,0.007294
84,5556.48,1.73918,1.39893,1.32287,0.75235,0.58162,0.66812,0.37401,1.66772,1.29811,1.32171,0.007261,0.007261,0.007261
85,5620.63,1.73883,1.40116,1.31613,0.77027,0.57124,0.66634,0.37429,1.65599,1.28966,1.31455,0.007228,0.007228,0.007228
86,5683.67,1.73395,1.39397,1.32286,0.76486,0.58859,0.67425,0.37951,1.64274,1.28277,1.30957,0.007195,0.007195,0.007195
87,5746.6,1.7564,1.40251,1.33015,0.75179,0.58854,0.67161,0.38121,1.64867,1.29288,1.31096,0.007162,0.007162,0.007162
88,5809.48,1.73176,1.38712,1.31389,0.76001,0.58963,0.67334,0.3802,1.64526,1.285,1.31145,0.007129,0.007129,0.007129
89,5872.39,1.729,1.39036,1.31652,0.74785,0.6022,0.68052,0.3851,1.64046,1.26971,1.31241,0.007096,0.007096,0.007096
90,5935.25,1.71916,1.36766,1.31184,0.74587,0.58828,0.67363,0.38207,1.64965,1.27972,1.31201,0.007063,0.007063,0.007063
91,5998.06,1.71783,1.37682,1.31418,0.75969,0.58706,0.67791,0.38349,1.65601,1.28172,1.31866,0.00703,0.00703,0.00703
92,6060.91,1.72694,1.37651,1.31657,0.76064,0.58408,0.67845,0.38495,1.64601,1.27311,1.3143,0.006997,0.006997,0.006997
93,6123.75,1.72394,1.37268,1.31301,0.79933,0.57583,0.6855,0.39084,1.64565,1.2723,1.31465,0.006964,0.006964,0.006964
94,6186.74,1.70951,1.35896,1.31571,0.76762,0.5926,0.68056,0.39173,1.64113,1.26156,1.30698,0.006931,0.006931,0.006931
95,6249.91,1.71854,1.36602,1.30234,0.76781,0.59569,0.68151,0.3897,1.63987,1.2651,1.30754,0.006898,0.006898,0.006898
96,6312.94,1.69467,1.34382,1.30268,0.75107,0.60461,0.68388,0.39425,1.63041,1.25206,1.30379,0.006865,0.006865,0.006865
97,6375.91,1.70141,1.36109,1.30794,0.75427,0.60117,0.68767,0.39232,1.63983,1.25526,1.30842,0.006832,0.006832,0.006832
