                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9185,                 1.6537,                  1.446,                0.66887,                0.50053,                0.56903,                0.28122,                 1.8932,                 1.5619,                 1.4751,               0.008878,               0.008878,               0.008878
                     36,                  1.921,                 1.6337,                 1.4336,                0.65146,                0.50464,                 0.5646,                0.28077,                 1.8644,                 1.5852,                 1.4554,               0.008845,               0.008845,               0.008845
                     37,                 1.9033,                 1.6301,                 1.4417,                0.68978,                 0.4968,                0.57661,                0.29787,                 1.8102,                 1.5624,                 1.4236,               0.008812,               0.008812,               0.008812
                     38,                 1.9008,                   1.63,                 1.4331,                0.66988,                0.50475,                0.56821,                0.27856,                 1.8241,                 1.5686,                 1.4425,               0.008779,               0.008779,               0.008779
                     39,                 1.8989,                  1.628,                 1.4304,                0.68784,                0.51434,                0.58731,                0.29759,                 1.8365,                 1.5471,                 1.4321,               0.008746,               0.008746,               0.008746
                     40,                 1.8828,                 1.5836,                 1.4181,                0.70715,                0.53138,                0.60085,                 0.3118,                 1.8226,                 1.4963,                 1.4282,               0.008713,               0.008713,               0.008713
                     41,                 1.8914,                 1.5906,                 1.4207,                 0.6739,                 0.5385,                0.59539,                0.30522,                 1.8299,                 1.4845,                 1.4356,                0.00868,                0.00868,                0.00868
                     42,                 1.8802,                 1.5814,                 1.4212,                0.68195,                0.51707,                0.58792,                0.30214,                 1.8361,                 1.5321,                 1.4405,               0.008647,               0.008647,               0.008647
                     43,                 1.8753,                 1.5863,                 1.4114,                0.70117,                0.48298,                0.57101,                0.28794,                 1.8129,                 1.6044,                 1.4228,               0.008614,               0.008614,               0.008614
                     44,                 1.8845,                 1.5824,                 1.4108,                0.74106,                0.51213,                0.60449,                0.31961,                 1.8054,                 1.4883,                 1.4175,               0.008581,               0.008581,               0.008581
                     45,                 1.8823,                 1.5716,                 1.4142,                 0.6857,                0.51502,                0.59674,                0.30237,                 1.8345,                  1.491,                 1.4117,               0.008548,               0.008548,               0.008548
                     46,                 1.8619,                 1.5454,                 1.3992,                0.72164,                0.53507,                0.61503,                 0.3191,                 1.8051,                 1.4552,                 1.4105,               0.008515,               0.008515,               0.008515
                     47,                 1.8538,                 1.5459,                 1.4083,                0.69449,                0.54725,                 0.6201,                0.32201,                 1.8176,                 1.4661,                 1.4139,               0.008482,               0.008482,               0.008482
                     48,                 1.8601,                 1.5452,                  1.406,                0.73199,                0.52784,                 0.6117,                0.31927,                 1.8002,                 1.4895,                 1.4091,               0.008449,               0.008449,               0.008449
                     49,                 1.8611,                 1.5519,                 1.4126,                0.72748,                0.54955,                0.62923,                0.32846,                 1.7898,                 1.4831,                  1.407,               0.008416,               0.008416,               0.008416
                     50,                 1.8405,                 1.5236,                  1.389,                0.74051,                0.54069,                0.62356,                0.32661,                 1.7839,                 1.4543,                 1.4061,               0.008383,               0.008383,               0.008383
                     51,                 1.8427,                 1.5224,                 1.3985,                0.73933,                0.54552,                0.63245,                0.33406,                 1.7644,                 1.4423,                 1.4094,                0.00835,                0.00835,                0.00835
                     52,                 1.8399,                  1.529,                 1.4017,                0.72883,                 0.5576,                0.63459,                0.34209,                  1.795,                 1.4194,                 1.4092,               0.008317,               0.008317,               0.008317
                     53,                  1.837,                 1.5176,                 1.3951,                0.70357,                0.56867,                0.63099,                0.32847,                 1.7955,                 1.4713,                 1.4078,               0.008284,               0.008284,               0.008284
                     54,                 1.8272,                 1.4966,                 1.3876,                0.72891,                0.54475,                0.63295,                0.34019,                 1.7684,                   1.44,                 1.3979,               0.008251,               0.008251,               0.008251
                     55,                 1.8287,                 1.4992,                 1.3931,                0.74312,                0.55502,                 0.6392,                0.34171,                 1.7575,                  1.418,                 1.3906,               0.008218,               0.008218,               0.008218
                     56,                  1.819,                 1.4932,                   1.38,                0.74552,                0.56222,                0.65079,                0.34887,                  1.774,                 1.4082,                 1.3928,               0.008185,               0.008185,               0.008185
                     57,                  1.804,                 1.4741,                 1.3749,                0.74018,                0.56997,                0.64965,                0.35008,                 1.7711,                 1.4076,                 1.4013,               0.008152,               0.008152,               0.008152
                     58,                 1.8169,                 1.4803,                 1.3832,                0.72202,                0.55863,                0.64169,                 0.3397,                 1.7784,                 1.4033,                 1.3938,               0.008119,               0.008119,               0.008119
                     59,                 1.8088,                 1.4766,                 1.3761,                0.73676,                0.56428,                0.64973,                0.34631,                 1.7768,                 1.4102,                 1.3919,               0.008086,               0.008086,               0.008086
                     60,                 1.8117,                 1.4869,                 1.3843,                 0.7434,                0.55966,                0.65443,                0.35599,                 1.7668,                 1.3965,                 1.3894,               0.008053,               0.008053,               0.008053
                     61,                 1.7979,                 1.4433,                 1.3734,                0.75201,                0.56191,                  0.654,                0.34853,                 1.7738,                 1.3869,                 1.4015,                0.00802,                0.00802,                0.00802
                     62,                 1.8089,                 1.4679,                 1.3834,                0.75863,                0.56592,                0.65728,                0.35688,                 1.7569,                  1.382,                 1.3927,               0.007987,               0.007987,               0.007987
                     63,                 1.8006,                 1.4629,                 1.3717,                0.74932,                0.57464,                0.66182,                0.36184,                 1.7408,                 1.3918,                 1.3792,               0.007954,               0.007954,               0.007954
                     64,                 1.7967,                 1.4599,                 1.3646,                0.75967,                0.58453,                0.66741,                0.35839,                 1.7522,                 1.3797,                 1.3885,               0.007921,               0.007921,               0.007921
